,tienda_id,empleados,publicidad,ubicacion,ventas
74,10,9.0,4862.0,3,14300.0
75,36,15.0,4700.0,2,42180.0
76,14,2.0,6374.0,1,5860.0
77,31,4.0,6558.0,2,21894.0
78,48,5.0,3798.0,2,39495.0
80,8,8.0,3757.0,1,35920.0
81,14,8.0,9227.0,3,35330.0
82,23,22.0,7954.0,3,40822.0
83,40,12.0,6414.0,3,34785.0
86,45,19.0,5726.0,3,40018.0
87,18,3.0,9418.0,1,20758.0
88,47,18.0,5577.0,1,22748.0
89,24,21.0,6017.0,1,49570.0
90,26,19.0,-97.0,1,31276.0
91,25,19.0,5515.0,2,63424.0
92,45,15.0,2212.0,3,21646.0
93,41,6.0,4026.0,1,25511.0
94,29,16.0,5093.0,2,49196.0
95,15,8.0,4395.0,2,18286.0
96,45,16.0,3728.0,2,43778.0
97,1,18.0,3745.0,3,38568.0
99,7,16.0,4490.0,3,32777.0
100,9,11.0,5040.0,3,34592.0
103,44,17.0,900.0,2,52375.0
104,8,12.0,5489.0,2,39645.0
105,24,13.0,5142.0,2,33722.0
106,11,10.0,4731.0,1,44482.0
107,17,7.0,3588.0,1,31053.0
108,8,14.0,4700.0,3,29075.0
109,35,23.0,1732.0,3,47057.0
110,35,1.0,5413.0,3,14804.0
111,33,17.0,5776.0,3,26579.0
112,5,4.0,3591.0,3,10494.0
113,42,21.0,8881.0,1,61869.0
114,39,5.0,4759.0,3,16254.0
115,41,20.0,5088.0,2,57822.0
116,28,24.0,7671.0,3,59732.0
117,7,23.0,9284.0,2,61844.0
118,9,25.0,2753.0,2,50388.0
120,12,10.0,4794.0,2,33251.0
121,34,17.0,3514.0,3,19395.0
122,33,29.0,6692.0,3,61884.0
123,48,7.0,3294.0,3,15571.0
125,24,7.0,6247.0,3,23032.0
126,37,26.0,7328.0,1,57520.0
127,35,24.0,3302.0,2,78149.0
128,44,11.0,4233.0,2,39844.0
129,40,9.0,6795.0,1,39612.0
130,22,12.0,6433.0,1,39612.0
131,27,3.0,4426.0,3,7146.0
132,35,4.0,4710.0,3,18250.0
133,1,4.0,4131.0,2,27660.0
136,47,13.0,2733.0,3,20163.0
138,3,19.0,4589.0,2,52123.0
139,1,10.0,7302.0,1,25343.0
141,26,7.0,5624.0,3,1239.0
142,14,24.0,3579.0,1,38778.0
143,39,16.0,2578.0,3,28137.0
144,27,1.0,4086.0,1,31485.0
145,9,12.0,8063.0,1,40782.0
146,15,2.0,6777.0,2,18648.0
147,15,7.0,3899.0,1,39767.0
148,26,11.0,4108.0,3,24770.0
149,42,29.0,3141.0,2,54666.0
150,13,13.0,1905.0,1,30234.0
151,32,2.0,5203.0,2,37013.0
153,49,15.0,8475.0,3,23918.0
154,32,25.0,6215.0,3,65535.0
155,4,11.0,3794.0,2,42499.0
156,30,2.0,2101.0,1,9964.0
157,37,7.0,7094.0,1,25113.0
158,23,4.0,5894.0,2,33570.0
159,39,11.0,4367.0,2,38059.0
160,45,29.0,4033.0,3,65224.0
162,43,29.0,3346.0,1,62813.0
163,29,16.0,5478.0,2,49215.0
165,13,13.0,9457.0,2,55995.0
166,32,5.0,3625.0,1,29539.0
167,7,17.0,6296.0,2,34201.0
168,22,21.0,2603.0,2,53389.0
170,2,28.0,6769.0,3,47953.0
171,42,19.0,7201.0,3,43801.0
172,45,7.0,6526.0,3,33193.0
173,6,6.0,4723.0,3,6696.0
174,28,8.0,3668.0,1,21201.0
175,28,13.0,2844.0,1,16056.0
176,44,5.0,8007.0,3,19950.0
178,20,9.0,5576.0,3,29395.0
179,30,11.0,7330.0,2,58101.0
180,11,24.0,6173.0,1,51573.0
181,28,6.0,4745.0,2,21269.0
182,25,29.0,6488.0,3,44881.0
183,39,26.0,3754.0,1,44380.0
184,33,7.0,1897.0,3,19094.0
185,1,25.0,7823.0,2,87258.0
186,27,7.0,3921.0,1,22916.0
189,3,11.0,3795.0,3,12920.0
191,6,11.0,5748.0,2,33807.0
192,8,7.0,4392.0,2,32791.0
193,27,2.0,2448.0,2,29013.0
194,9,19.0,5607.0,2,46400.0
195,37,4.0,98.0,3,18984.0
196,33,26.0,5465.0,2,73844.0
197,42,6.0,7686.0,3,17515.0
199,24,25.0,7412.0,2,44007.0
202,32,28.0,7194.0,3,48536.0
203,24,7.0,5951.0,2,57297.0
204,41,9.0,3803.0,3,20613.0
205,49,25.0,3470.0,2,50273.0
206,49,1.0,4858.0,1,32253.0
207,12,1.0,7405.0,3,18981.0
208,39,19.0,2368.0,2,65882.0
209,2,6.0,5020.0,1,17150.0
210,3,18.0,6468.0,3,40818.0
212,37,28.0,6462.0,3,34710.0
214,17,1.0,7263.0,1,12741.0
217,2,5.0,4951.0,1,23288.0
218,28,20.0,1082.0,2,51507.0
219,23,1.0,6156.0,1,11590.0
220,37,20.0,4744.0,3,32053.0
221,32,3.0,2459.0,3,19128.0
223,1,9.0,3585.0,3,27677.0
224,19,14.0,3712.0,2,48621.0
225,2,27.0,477.0,3,33577.0
227,26,23.0,4540.0,3,49017.0
228,32,14.0,4196.0,1,22618.0
229,6,29.0,6947.0,1,74791.0
230,32,4.0,3736.0,2,50169.0
231,4,5.0,3946.0,2,34924.0
232,11,26.0,4039.0,2,61217.0
233,17,21.0,4605.0,3,37993.0
234,38,17.0,5182.0,2,32586.0
236,5,29.0,6142.0,1,53826.0
238,6,2.0,3349.0,3,14597.0
239,22,23.0,5783.0,3,45439.0
241,48,5.0,7094.0,2,28739.0
242,16,4.0,5405.0,2,36350.0
243,33,4.0,3547.0,2,28917.0
244,9,6.0,2669.0,3,22099.0
245,6,20.0,6220.0,1,44198.0
246,16,21.0,2832.0,3,56545.0
247,29,13.0,7367.0,2,20976.0
248,3,22.0,6106.0,3,49140.0
249,20,5.0,5173.0,1,30203.0
250,36,23.0,2375.0,3,28732.0
251,19,25.0,6350.0,1,70829.0
252,26,26.0,8233.0,2,65809.0
253,3,23.0,4149.0,3,41572.0
254,19,7.0,3516.0,2,37025.0
256,32,1.0,5933.0,1,17568.0
257,7,14.0,3937.0,1,35156.0
259,33,4.0,8821.0,1,32745.0
260,40,17.0,5660.0,1,43393.0
261,39,21.0,4350.0,2,39503.0
262,18,14.0,5880.0,2,35518.0
263,40,16.0,7354.0,1,50729.0
265,11,16.0,5970.0,2,42789.0
266,28,24.0,6409.0,1,55526.0
267,25,20.0,3249.0,3,40758.0
268,50,29.0,5918.0,3,51053.0
269,23,28.0,2316.0,2,71288.0
270,31,8.0,3683.0,1,12266.0
271,30,24.0,7291.0,2,44508.0
272,42,3.0,6742.0,1,34919.0
277,48,15.0,5550.0,3,27156.0
279,2,28.0,4684.0,1,41533.0
280,1,10.0,2751.0,2,44338.0
281,48,18.0,2796.0,3,18940.0
282,12,22.0,4455.0,1,46789.0
283,5,14.0,1348.0,1,34417.0
284,37,17.0,3384.0,1,44696.0
285,32,27.0,1395.0,3,48889.0
286,9,13.0,5247.0,3,17814.0
287,41,1.0,5208.0,3,6554.0
288,35,5.0,4302.0,3,8901.0
289,19,26.0,6992.0,2,48863.0
291,16,27.0,4953.0,1,46895.0
296,24,15.0,8419.0,3,30884.0
297,11,19.0,6334.0,2,40432.0
298,49,17.0,4173.0,3,43726.0
299,8,3.0,5283.0,2,42175.0
300,36,16.0,6814.0,2,57281.0
301,38,14.0,6033.0,1,39317.0
303,20,28.0,3421.0,3,39258.0
304,35,12.0,6950.0,3,36835.0
305,48,29.0,4154.0,2,80531.0
306,25,11.0,5387.0,1,27415.0
307,35,17.0,3884.0,1,38243.0
308,25,8.0,4715.0,2,27693.0
310,18,21.0,6186.0,1,33873.0
311,46,25.0,5122.0,2,58705.0
313,2,20.0,4846.0,3,42128.0
314,35,11.0,7940.0,3,30358.0
316,41,25.0,7996.0,3,49376.0
317,36,2.0,4759.0,2,32938.0
318,33,10.0,1856.0,2,36397.0
319,4,10.0,4134.0,1,39661.0
322,21,6.0,2629.0,2,21076.0
324,20,24.0,4343.0,3,52342.0
325,8,12.0,7575.0,1,26924.0
326,7,11.0,2579.0,3,9268.0
328,17,23.0,5822.0,1,39175.0
329,33,27.0,6549.0,3,56728.0
330,48,26.0,4272.0,3,42528.0
332,22,13.0,5706.0,3,13426.0
333,22,5.0,1703.0,1,10579.0
334,46,6.0,4344.0,1,14836.0
336,38,6.0,5169.0,1,2371.0
337,38,18.0,5144.0,1,38368.0
338,45,22.0,5875.0,1,44055.0
339,8,9.0,8875.0,3,29215.0
340,27,24.0,3809.0,2,59551.0
341,27,25.0,5762.0,2,52564.0
342,34,29.0,7602.0,2,46994.0
343,21,15.0,1402.0,2,35914.0
345,33,8.0,1639.0,3,6226.0
346,28,19.0,9371.0,1,38648.0
349,5,6.0,1253.0,1,1452.0
350,48,29.0,3991.0,2,60897.0
351,19,6.0,4000.0,2,29415.0
352,4,22.0,8532.0,3,41373.0
353,35,3.0,6458.0,1,13070.0
354,49,10.0,1694.0,2,33908.0
355,17,1.0,5939.0,3,13406.0
356,44,28.0,1994.0,1,44875.0
358,30,4.0,5906.0,2,28894.0
359,29,26.0,6489.0,1,63985.0
360,46,12.0,5917.0,1,35368.0
361,6,6.0,8759.0,2,23404.0
362,35,11.0,5737.0,3,6540.0
363,41,12.0,5340.0,3,37921.0
364,37,10.0,2567.0,2,27929.0
365,24,18.0,6715.0,2,51400.0
366,29,7.0,1697.0,3,10830.0
367,49,7.0,9040.0,3,36156.0
369,31,4.0,10579.0,2,20660.0
370,35,20.0,5778.0,2,51984.0
371,33,1.0,6840.0,1,28218.0
372,21,13.0,4445.0,2,34355.0
373,32,18.0,4913.0,1,25313.0
374,23,9.0,2896.0,3,28118.0
375,33,26.0,2104.0,3,35893.0
376,3,24.0,5378.0,2,43302.0
377,18,24.0,4901.0,2,50468.0
378,25,9.0,2848.0,3,23000.0
379,42,23.0,3202.0,3,45930.0
380,31,29.0,5064.0,3,55990.0
382,40,10.0,5713.0,2,48038.0
383,46,28.0,2875.0,1,61136.0
384,24,2.0,5511.0,3,16734.0
385,50,6.0,2698.0,3,5111.0
386,32,15.0,2706.0,1,28153.0
387,47,3.0,275.0,2,27535.0
388,22,11.0,4679.0,1,35704.0
389,23,6.0,7908.0,2,24870.0
390,2,3.0,7794.0,2,47910.0
392,42,11.0,997.0,2,46469.0
393,2,15.0,6687.0,2,35117.0
394,26,13.0,5451.0,3,30614.0
395,17,20.0,4186.0,2,40386.0
396,40,28.0,7414.0,3,54142.0
397,33,10.0,6230.0,2,44308.0
398,9,6.0,8923.0,3,26017.0
399,43,15.0,2188.0,1,26573.0
400,48,25.0,2345.0,1,30885.0
401,39,18.0,2682.0,3,37070.0
403,42,7.0,8176.0,3,17749.0
404,26,15.0,3752.0,3,20980.0
405,35,18.0,3795.0,2,49198.0
406,50,18.0,5834.0,1,41320.0
408,24,9.0,526.0,1,3455.0
409,13,24.0,7079.0,1,38135.0
410,7,2.0,3689.0,1,20250.0
412,45,20.0,7836.0,3,33740.0
413,20,2.0,4567.0,2,50099.0
414,1,11.0,1936.0,2,34971.0
415,8,26.0,2052.0,3,52335.0
417,16,6.0,4331.0,1,29165.0
419,12,5.0,4197.0,3,18450.0
420,23,11.0,7482.0,1,37753.0
422,28,2.0,1474.0,3,13746.0
423,34,24.0,6633.0,3,34799.0
424,2,1.0,8812.0,1,18788.0
425,32,19.0,5309.0,3,42647.0
426,23,2.0,5465.0,3,6677.0
427,22,21.0,3440.0,2,44324.0
428,25,20.0,4515.0,1,38749.0
429,22,29.0,6005.0,3,63905.0
430,22,23.0,7263.0,2,69378.0
431,49,21.0,5892.0,3,48521.0
433,6,4.0,5196.0,2,30219.0
434,15,12.0,2756.0,2,41963.0
436,37,20.0,7468.0,3,31874.0
437,33,18.0,7014.0,1,47725.0
438,8,1.0,1710.0,1,21550.0
440,44,24.0,4653.0,2,58791.0
441,5,14.0,3496.0,1,55390.0
442,39,4.0,2179.0,1,16866.0
443,4,5.0,3452.0,2,44709.0
444,6,11.0,3093.0,3,27447.0
445,45,24.0,2227.0,1,53395.0
447,30,23.0,5565.0,1,32862.0
448,47,13.0,4071.0,2,49980.0
451,16,13.0,6042.0,2,31062.0
452,13,24.0,3527.0,1,45253.0
453,50,22.0,2700.0,1,38993.0
454,42,26.0,4753.0,2,57614.0
455,30,2.0,5670.0,2,29820.0
456,19,16.0,1000.0,3,36862.0
457,17,6.0,7708.0,2,38027.0
459,28,1.0,4154.0,3,10958.0
460,26,17.0,7362.0,2,49641.0
462,26,19.0,7192.0,2,54722.0
464,9,11.0,2080.0,1,27011.0
465,12,29.0,6804.0,3,44739.0
466,1,5.0,7650.0,3,6663.0
467,1,17.0,4248.0,2,39360.0
468,47,26.0,4407.0,3,36088.0
470,32,7.0,6562.0,3,11972.0
471,48,10.0,-69.0,3,19560.0
475,1,3.0,5792.0,3,18378.0
478,5,27.0,2333.0,1,55588.0
479,22,10.0,1472.0,2,29903.0
480,29,14.0,7182.0,2,37572.0
481,3,12.0,6325.0,2,43646.0
482,12,15.0,6396.0,3,27247.0
483,26,10.0,5582.0,3,26309.0
485,37,26.0,4416.0,3,32795.0
486,22,19.0,5740.0,1,30298.0
488,14,24.0,4314.0,3,28295.0
489,28,29.0,11086.0,1,81865.0
490,5,26.0,5077.0,2,82583.0
491,47,10.0,1056.0,2,44699.0
492,49,2.0,4182.0,2,22651.0
493,30,17.0,2884.0,1,32971.0
494,46,24.0,5318.0,1,53219.0
495,5,7.0,3221.0,2,39043.0
496,12,7.0,4576.0,3,22123.0
497,16,20.0,3520.0,2,39711.0
498,26,27.0,5394.0,3,47916.0
499,26,9.0,3745.0,3,26828.0
500,48,22.0,5713.0,1,23955.0
502,39,14.0,2691.0,3,33411.0
503,36,17.0,6447.0,3,32536.0
504,33,1.0,94.0,3,3463.0
505,30,9.0,4534.0,1,38211.0
506,37,20.0,5457.0,2,53827.0
507,23,21.0,3503.0,3,34567.0
508,10,19.0,1425.0,1,36554.0
509,5,4.0,4923.0,2,27181.0
510,36,28.0,8064.0,1,50105.0
511,34,8.0,4707.0,2,33540.0
512,31,13.0,6117.0,1,22994.0
513,10,4.0,7253.0,2,28469.0
514,19,9.0,9942.0,3,21292.0
515,32,9.0,2895.0,1,28129.0
516,1,22.0,3101.0,2,70626.0
517,5,18.0,4415.0,2,53127.0
518,45,12.0,6230.0,2,44015.0
519,4,10.0,358.0,3,22624.0
520,16,11.0,6307.0,1,22917.0
521,24,7.0,5296.0,2,41756.0
522,16,9.0,3932.0,3,25709.0
524,49,19.0,6779.0,3,42472.0
525,28,16.0,7056.0,3,37921.0
527,27,7.0,5652.0,3,29964.0
528,20,16.0,5576.0,3,25879.0
529,24,5.0,7462.0,1,36581.0
532,35,19.0,6785.0,2,55605.0
533,33,5.0,8917.0,2,25004.0
534,33,7.0,3828.0,2,43853.0
535,43,19.0,8251.0,3,21965.0
536,37,22.0,9942.0,2,77205.0
537,12,5.0,3955.0,1,43232.0
540,33,26.0,6313.0,1,48273.0
541,40,22.0,1276.0,3,48771.0
543,43,29.0,4452.0,2,37706.0
544,44,29.0,4277.0,2,70755.0
545,29,1.0,4257.0,1,23843.0
547,12,15.0,6554.0,1,44476.0
548,31,20.0,6076.0,2,70906.0
549,46,28.0,8406.0,2,66610.0
550,2,18.0,6559.0,1,59430.0
551,50,11.0,2804.0,2,37199.0
552,35,25.0,4659.0,2,72493.0
554,17,24.0,5510.0,1,70791.0
555,26,24.0,7186.0,1,58227.0
556,8,4.0,5371.0,3,14335.0
557,29,5.0,5376.0,3,4804.0
559,10,13.0,6621.0,3,21604.0
560,26,25.0,3862.0,1,54999.0
561,34,13.0,2085.0,1,37757.0
562,41,18.0,6289.0,1,52434.0
563,7,29.0,5750.0,2,73477.0
564,4,27.0,7646.0,2,67417.0
565,50,24.0,144.0,1,59360.0
566,45,2.0,4799.0,1,31243.0
567,11,16.0,5213.0,2,37643.0
569,36,26.0,4826.0,3,60151.0
570,25,19.0,7373.0,2,45867.0
572,36,28.0,6964.0,1,69615.0
573,10,3.0,4351.0,1,20043.0
574,37,25.0,7523.0,1,48964.0
576,24,29.0,4031.0,2,78587.0
577,35,10.0,3836.0,3,2753.0
578,49,1.0,4662.0,2,26491.0
579,35,10.0,2898.0,2,37892.0
580,48,21.0,4378.0,1,59966.0
581,36,9.0,5973.0,2,46563.0
582,18,28.0,7077.0,3,60853.0
583,49,15.0,4242.0,1,31455.0
584,39,15.0,7776.0,3,40416.0
585,32,3.0,6300.0,3,9688.0
587,23,5.0,3161.0,2,35767.0
588,32,9.0,8615.0,3,26245.0
589,37,26.0,6106.0,2,67047.0
593,23,7.0,2963.0,1,13802.0
594,25,24.0,6976.0,2,50336.0
596,41,12.0,5579.0,3,34005.0
597,30,25.0,4100.0,3,56485.0
600,20,6.0,3712.0,2,48268.0
601,48,23.0,4932.0,2,51536.0
602,25,2.0,2113.0,2,44814.0
603,22,9.0,8401.0,2,41457.0
604,13,28.0,7136.0,1,75595.0
607,36,1.0,4730.0,2,9255.0
608,12,19.0,5077.0,1,52984.0
610,19,6.0,2710.0,3,36334.0
611,12,5.0,5790.0,3,12292.0
612,9,2.0,8478.0,1,33153.0
613,7,9.0,5109.0,2,38386.0
614,28,29.0,4416.0,1,56094.0
615,14,26.0,4206.0,2,59470.0
616,31,14.0,2806.0,1,24793.0
617,19,4.0,3656.0,3,17667.0
618,47,4.0,7272.0,1,23931.0
619,16,21.0,858.0,3,21459.0
620,5,15.0,5140.0,3,6499.0
621,35,8.0,5055.0,2,32914.0
622,12,26.0,5236.0,1,64808.0
623,25,4.0,6454.0,1,23383.0
624,21,16.0,5122.0,1,25070.0
625,36,21.0,4092.0,1,27035.0
626,23,28.0,3686.0,2,76496.0
628,39,16.0,7082.0,2,57259.0
630,42,12.0,4438.0,3,42897.0
631,39,16.0,3723.0,3,25686.0
633,31,8.0,5858.0,3,35685.0
634,5,6.0,6272.0,1,10646.0
635,35,10.0,6694.0,3,26685.0
639,11,10.0,7451.0,2,29270.0
640,18,10.0,477.0,1,29203.0
641,47,7.0,5464.0,3,41608.0
642,12,18.0,3153.0,3,32480.0
643,9,1.0,7110.0,2,26239.0
644,10,7.0,435.0,3,30013.0
645,44,21.0,7938.0,1,60445.0
650,13,29.0,8558.0,3,66045.0
651,40,20.0,7726.0,2,51078.0
652,42,10.0,3978.0,2,36179.0
653,9,23.0,7084.0,1,40923.0
656,2,28.0,6428.0,3,48510.0
657,5,14.0,7911.0,3,36984.0
658,29,16.0,4117.0,1,39762.0
659,37,1.0,4270.0,2,16595.0
660,38,2.0,5602.0,2,13191.0
661,19,7.0,3212.0,2,29330.0
663,48,10.0,3192.0,3,14877.0
664,45,22.0,3733.0,3,42277.0
665,1,20.0,8534.0,1,38112.0
666,22,1.0,5429.0,1,28706.0
667,17,13.0,8887.0,3,21151.0
668,7,1.0,4561.0,1,9100.0
669,25,5.0,10039.0,1,34028.0
670,45,16.0,6231.0,1,45889.0
671,4,15.0,3495.0,2,50462.0
672,36,17.0,3464.0,1,31890.0
673,6,28.0,2085.0,3,54509.0
674,31,23.0,2304.0,2,64263.0
675,19,16.0,3680.0,1,41360.0
676,44,13.0,3016.0,3,26589.0
677,39,11.0,-155.0,1,32146.0
678,27,17.0,6683.0,3,35088.0
679,10,17.0,6550.0,3,39779.0
681,19,13.0,2730.0,1,16577.0
683,3,11.0,4643.0,1,51019.0
684,45,28.0,3333.0,3,30292.0
685,13,10.0,5465.0,2,54894.0
686,50,3.0,5350.0,3,20035.0
687,28,29.0,-5.0,3,48838.0
688,20,27.0,4938.0,1,37646.0
689,28,17.0,5241.0,3,34681.0
690,8,15.0,4242.0,1,28430.0
691,41,9.0,2357.0,3,32275.0
692,39,10.0,2416.0,2,30265.0
694,3,21.0,6523.0,2,59180.0
695,13,13.0,4103.0,1,26337.0
696,28,27.0,5764.0,2,74697.0
697,49,18.0,4084.0,1,37308.0
698,25,5.0,3293.0,2,11326.0
699,33,6.0,5428.0,2,34850.0
700,38,17.0,2701.0,1,45734.0
701,6,11.0,8787.0,1,47909.0
702,44,20.0,2124.0,3,42225.0
703,45,16.0,5567.0,3,44984.0
704,32,9.0,5300.0,1,32647.0
705,45,2.0,5122.0,1,7503.0
706,47,5.0,7966.0,2,26060.0
708,16,4.0,5823.0,3,13489.0
709,21,4.0,4453.0,3,21090.0
710,11,22.0,6167.0,3,27155.0
711,37,26.0,5109.0,2,76026.0
712,36,25.0,4849.0,2,60351.0
714,19,9.0,3653.0,3,5593.0
715,20,22.0,11263.0,1,68620.0
716,18,23.0,6186.0,3,56269.0
718,41,10.0,4296.0,3,32726.0
720,14,11.0,6552.0,3,20697.0
721,15,10.0,1192.0,3,14421.0
722,31,22.0,3698.0,2,53636.0
723,1,6.0,4290.0,3,13446.0
724,3,18.0,6889.0,2,53125.0
726,23,2.0,4054.0,2,49026.0
727,11,10.0,5737.0,1,17563.0
729,10,12.0,7140.0,2,45808.0
731,16,21.0,8472.0,1,43775.0
732,8,8.0,4444.0,1,30996.0
733,38,16.0,7450.0,1,26163.0
735,24,13.0,3605.0,1,35290.0
736,28,15.0,10203.0,3,42962.0
738,28,12.0,5468.0,1,25422.0
739,36,8.0,6531.0,2,22538.0
740,26,10.0,2835.0,2,51830.0
741,8,14.0,2906.0,1,22227.0
742,50,5.0,7228.0,3,16393.0
743,28,18.0,5009.0,3,34562.0
744,28,19.0,4688.0,2,56982.0
746,41,6.0,5304.0,3,26839.0
747,36,27.0,4491.0,1,66542.0
748,27,11.0,935.0,1,20647.0
749,17,21.0,7831.0,2,57398.0
750,9,11.0,4778.0,1,36587.0
753,13,21.0,1467.0,3,44686.0
754,28,18.0,4449.0,1,55686.0
755,48,25.0,6955.0,2,78159.0
756,29,18.0,2560.0,3,39800.0
757,13,10.0,2483.0,1,34646.0
758,46,2.0,5743.0,3,8702.0
759,35,26.0,4374.0,2,53326.0
760,6,9.0,6088.0,1,27683.0
761,18,14.0,4410.0,2,67172.0
762,5,19.0,5770.0,2,47806.0
763,47,10.0,7732.0,1,35529.0
764,25,23.0,2564.0,2,60328.0
765,2,4.0,7369.0,3,13152.0
766,10,29.0,1591.0,2,79609.0
767,30,29.0,6218.0,1,74362.0
769,45,14.0,3951.0,3,21176.0
771,33,26.0,4025.0,2,63105.0
772,1,15.0,6170.0,2,40571.0
774,32,7.0,5324.0,3,21427.0
775,47,17.0,5790.0,3,30462.0
776,49,19.0,7689.0,1,34854.0
777,11,29.0,6850.0,2,70215.0
778,21,19.0,4677.0,1,31178.0
779,26,17.0,5536.0,1,35265.0
780,25,6.0,2107.0,3,19303.0
781,22,29.0,8288.0,2,68779.0
782,27,11.0,6382.0,3,24031.0
783,49,16.0,1278.0,3,48110.0
784,13,25.0,5491.0,2,75919.0
785,33,8.0,5644.0,2,37339.0
787,41,7.0,5193.0,1,32761.0
788,35,26.0,3251.0,2,86862.0
789,1,24.0,2190.0,1,61401.0
790,21,22.0,3773.0,3,28017.0
791,48,25.0,5343.0,2,59797.0
792,6,19.0,6856.0,1,36654.0
793,28,26.0,5139.0,1,43850.0
794,17,10.0,6876.0,1,41851.0
795,5,9.0,6297.0,1,39677.0
796,31,4.0,2929.0,3,31097.0
797,5,23.0,6282.0,2,66309.0
799,3,13.0,8483.0,2,48165.0
800,23,25.0,5821.0,2,53100.0
801,37,2.0,2530.0,2,38724.0
802,37,2.0,3891.0,2,18700.0
804,10,9.0,6020.0,2,35279.0
805,19,28.0,8307.0,1,27935.0
807,21,3.0,8392.0,1,11736.0
808,14,9.0,5994.0,3,30190.0
809,9,13.0,2846.0,2,37291.0
811,1,22.0,2911.0,3,29223.0
812,45,2.0,5880.0,1,31588.0
813,13,8.0,5126.0,1,42213.0
814,4,27.0,5658.0,3,60025.0
815,1,9.0,3162.0,3,23680.0
816,49,16.0,3453.0,2,48119.0
818,32,6.0,3994.0,3,15938.0
819,34,22.0,5298.0,1,60414.0
820,28,8.0,5905.0,2,27097.0
821,31,26.0,4555.0,2,72459.0
822,8,28.0,7310.0,3,65698.0
823,39,5.0,4628.0,2,20221.0
824,26,9.0,4568.0,3,13764.0
825,34,1.0,3736.0,1,14044.0
827,50,10.0,3585.0,3,16692.0
828,12,23.0,7508.0,3,46428.0
830,44,3.0,10364.0,1,30441.0
831,5,10.0,3679.0,1,36063.0
832,30,15.0,7550.0,2,63749.0
833,30,11.0,6020.0,2,47053.0
834,17,14.0,3972.0,1,30476.0
835,48,6.0,6047.0,1,13694.0
836,47,12.0,5949.0,3,19627.0
837,23,13.0,4336.0,1,32080.0
838,15,17.0,5856.0,1,31716.0
839,37,16.0,7326.0,2,42176.0
840,21,3.0,6022.0,2,28939.0
844,39,9.0,7224.0,1,31944.0
845,38,3.0,3492.0,1,25942.0
846,34,29.0,5784.0,3,54676.0
847,38,18.0,1875.0,2,48809.0
848,50,20.0,6189.0,2,61321.0
849,34,15.0,6503.0,1,39605.0
850,18,14.0,9055.0,2,38522.0
851,30,2.0,6850.0,3,5484.0
852,15,17.0,4197.0,1,55623.0
854,34,26.0,6028.0,1,61183.0
855,38,8.0,4345.0,1,15391.0
856,33,10.0,5668.0,2,58524.0
857,24,26.0,3559.0,3,42544.0
858,15,18.0,4653.0,2,54971.0
859,30,25.0,1600.0,2,58575.0
861,17,19.0,2625.0,2,46197.0
862,5,8.0,6745.0,2,50374.0
863,29,28.0,3345.0,2,62831.0
864,4,8.0,7755.0,3,29330.0
866,17,3.0,9191.0,3,15748.0
867,10,12.0,1102.0,2,23834.0
