tienda_id,empleados,publicidad,ubicacion,ventas
34,27.0,,urbana,71837.0
10,9.0,4862.0,rural,14300.0
36,15.0,4700.0,urbana,42180.0
14,2.0,6374.0,suburbana,5860.0
31,4.0,6558.0,urbana,21894.0
48,5.0,3798.0,urbana,39495.0
15,17.0,3846.0,,59055.0
8,8.0,3757.0,suburbana,35920.0
14,8.0,9227.0,rural,35330.0
23,22.0,7954.0,rural,40822.0
40,12.0,6414.0,rural,34785.0
21,,4249.0,urbana,65428.0
16,8.0,4486.0,,26862.0
45,19.0,5726.0,rural,40018.0
18,3.0,9418.0,suburbana,20758.0
47,18.0,5577.0,suburbana,22748.0
24,21.0,6017.0,suburbana,49570.0
26,19.0,-97.0,suburbana,31276.0
25,19.0,5515.0,urbana,63424.0
45,15.0,2212.0,rural,21646.0
41,6.0,4026.0,suburbana,25511.0
29,16.0,5093.0,urbana,49196.0
15,8.0,4395.0,urbana,18286.0
45,16.0,3728.0,urbana,43778.0
1,18.0,3745.0,rural,38568.0
25,20.0,4577.0,,63896.0
7,16.0,4490.0,rural,32777.0
9,11.0,5040.0,rural,34592.0
24,7.0,4891.0,rural,
1,17.0,7557.0,rural,
44,17.0,900.0,urbana,52375.0
8,12.0,5489.0,urbana,39645.0
24,13.0,5142.0,urbana,33722.0
11,10.0,4731.0,suburbana,44482.0
17,7.0,3588.0,suburbana,31053.0
8,14.0,4700.0,rural,29075.0
35,23.0,1732.0,rural,47057.0
35,1.0,5413.0,rural,14804.0
33,17.0,5776.0,rural,26579.0
5,4.0,3591.0,rural,10494.0
42,21.0,8881.0,suburbana,61869.0
39,5.0,4759.0,rural,16254.0
41,20.0,5088.0,urbana,57822.0
28,24.0,7671.0,rural,59732.0
7,23.0,9284.0,urbana,61844.0
9,25.0,2753.0,urbana,50388.0
8,7.0,3845.0,,34709.0
12,10.0,4794.0,urbana,33251.0
34,17.0,3514.0,rural,19395.0
33,29.0,6692.0,rural,61884.0
48,7.0,3294.0,rural,15571.0
23,1.0,7533.0,rural,-17326.0
24,7.0,6247.0,rural,23032.0
37,26.0,7328.0,suburbana,57520.0
35,24.0,3302.0,urbana,78149.0
44,11.0,4233.0,urbana,39844.0
40,9.0,6795.0,suburbana,39612.0
22,12.0,6433.0,suburbana,39612.0
27,3.0,4426.0,rural,7146.0
35,4.0,4710.0,rural,18250.0
1,4.0,4131.0,urbana,27660.0
35,28.0,4657.0,,43848.0
37,25.0,3069.0,,54789.0
47,13.0,2733.0,rural,20163.0
14,23.0,,rural,45011.0
3,19.0,4589.0,urbana,52123.0
1,10.0,7302.0,suburbana,25343.0
5,5.0,6191.0,,20370.0
26,7.0,5624.0,rural,1239.0
14,24.0,3579.0,suburbana,38778.0
39,16.0,2578.0,rural,28137.0
27,1.0,4086.0,suburbana,31485.0
9,12.0,8063.0,suburbana,40782.0
15,2.0,6777.0,urbana,18648.0
15,7.0,3899.0,suburbana,39767.0
26,11.0,4108.0,rural,24770.0
42,29.0,3141.0,urbana,54666.0
13,13.0,1905.0,suburbana,30234.0
32,2.0,5203.0,urbana,37013.0
39,7.0,,suburbana,15922.0
49,15.0,8475.0,rural,23918.0
32,25.0,6215.0,rural,65535.0
4,11.0,3794.0,urbana,42499.0
30,2.0,2101.0,suburbana,9964.0
37,7.0,7094.0,suburbana,25113.0
23,4.0,5894.0,urbana,33570.0
39,11.0,4367.0,urbana,38059.0
45,29.0,4033.0,rural,65224.0
15,2.0,6200.0,,28949.0
43,29.0,3346.0,suburbana,62813.0
29,16.0,5478.0,urbana,49215.0
36,7.0,2560.0,rural,
13,13.0,9457.0,urbana,55995.0
32,5.0,3625.0,suburbana,29539.0
7,17.0,6296.0,urbana,34201.0
22,21.0,2603.0,urbana,53389.0
28,,4673.0,urbana,62235.0
2,28.0,6769.0,rural,47953.0
42,19.0,7201.0,rural,43801.0
45,7.0,6526.0,rural,33193.0
6,6.0,4723.0,rural,6696.0
28,8.0,3668.0,suburbana,21201.0
28,13.0,2844.0,suburbana,16056.0
44,5.0,8007.0,rural,19950.0
44,2.0,,rural,
20,9.0,5576.0,rural,29395.0
30,11.0,7330.0,urbana,58101.0
11,24.0,6173.0,suburbana,51573.0
28,6.0,4745.0,urbana,21269.0
25,29.0,6488.0,rural,44881.0
39,26.0,3754.0,suburbana,44380.0
33,7.0,1897.0,rural,19094.0
1,25.0,7823.0,urbana,87258.0
27,7.0,3921.0,suburbana,22916.0
13,,4391.0,urbana,65753.0
41,6.0,,suburbana,21513.0
3,11.0,3795.0,rural,12920.0
39,29.0,,suburbana,51097.0
6,11.0,5748.0,urbana,33807.0
8,7.0,4392.0,urbana,32791.0
27,2.0,2448.0,urbana,29013.0
9,19.0,5607.0,urbana,46400.0
37,4.0,98.0,rural,18984.0
33,26.0,5465.0,urbana,73844.0
42,6.0,7686.0,rural,17515.0
44,17.0,5129.0,suburbana,
24,25.0,7412.0,urbana,44007.0
15,5.0,,suburbana,-4049.0
32,29.0,9077.0,,69089.0
32,28.0,7194.0,rural,48536.0
24,7.0,5951.0,urbana,57297.0
41,9.0,3803.0,rural,20613.0
49,25.0,3470.0,urbana,50273.0
49,1.0,4858.0,suburbana,32253.0
12,1.0,7405.0,rural,18981.0
39,19.0,2368.0,urbana,65882.0
2,6.0,5020.0,suburbana,17150.0
3,18.0,6468.0,rural,40818.0
49,10.0,6858.0,rural,
37,28.0,6462.0,rural,34710.0
49,11.0,2164.0,,30655.0
17,1.0,7263.0,suburbana,12741.0
49,,5134.0,suburbana,5649.0
2,,2828.0,suburbana,17881.0
2,5.0,4951.0,suburbana,23288.0
28,20.0,1082.0,urbana,51507.0
23,1.0,6156.0,suburbana,11590.0
37,20.0,4744.0,rural,32053.0
32,3.0,2459.0,rural,19128.0
33,18.0,,rural,10712.0
1,9.0,3585.0,rural,27677.0
19,14.0,3712.0,urbana,48621.0
2,27.0,477.0,rural,33577.0
44,17.0,,rural,12480.0
26,23.0,4540.0,rural,49017.0
32,14.0,4196.0,suburbana,22618.0
6,29.0,6947.0,suburbana,74791.0
32,4.0,3736.0,urbana,50169.0
4,5.0,3946.0,urbana,34924.0
11,26.0,4039.0,urbana,61217.0
17,21.0,4605.0,rural,37993.0
38,17.0,5182.0,urbana,32586.0
24,,4187.0,,
5,29.0,6142.0,suburbana,53826.0
34,25.0,9600.0,,48818.0
6,2.0,3349.0,rural,14597.0
22,23.0,5783.0,rural,45439.0
11,22.0,5059.0,,64909.0
48,5.0,7094.0,urbana,28739.0
16,4.0,5405.0,urbana,36350.0
33,4.0,3547.0,urbana,28917.0
9,6.0,2669.0,rural,22099.0
6,20.0,6220.0,suburbana,44198.0
16,21.0,2832.0,rural,56545.0
29,13.0,7367.0,urbana,20976.0
3,22.0,6106.0,rural,49140.0
20,5.0,5173.0,suburbana,30203.0
36,23.0,2375.0,rural,28732.0
19,25.0,6350.0,suburbana,70829.0
26,26.0,8233.0,urbana,65809.0
3,23.0,4149.0,rural,41572.0
19,7.0,3516.0,urbana,37025.0
20,20.0,4815.0,,62727.0
32,1.0,5933.0,suburbana,17568.0
7,14.0,3937.0,suburbana,35156.0
41,24.0,,urbana,69816.0
33,4.0,8821.0,suburbana,32745.0
40,17.0,5660.0,suburbana,43393.0
39,21.0,4350.0,urbana,39503.0
18,14.0,5880.0,urbana,35518.0
40,16.0,7354.0,suburbana,50729.0
1,14.0,,urbana,42474.0
11,16.0,5970.0,urbana,42789.0
28,24.0,6409.0,suburbana,55526.0
25,20.0,3249.0,rural,40758.0
50,29.0,5918.0,rural,51053.0
23,28.0,2316.0,urbana,71288.0
31,8.0,3683.0,suburbana,12266.0
30,24.0,7291.0,urbana,44508.0
42,3.0,6742.0,suburbana,34919.0
35,25.0,4459.0,,49839.0
7,19.0,8411.0,urbana,
16,1.0,2379.0,,10141.0
26,,4589.0,urbana,26375.0
48,15.0,5550.0,rural,27156.0
49,22.0,-616.0,rural,
2,28.0,4684.0,suburbana,41533.0
1,10.0,2751.0,urbana,44338.0
48,18.0,2796.0,rural,18940.0
12,22.0,4455.0,suburbana,46789.0
5,14.0,1348.0,suburbana,34417.0
37,17.0,3384.0,suburbana,44696.0
32,27.0,1395.0,rural,48889.0
9,13.0,5247.0,rural,17814.0
41,1.0,5208.0,rural,6554.0
35,5.0,4302.0,rural,8901.0
19,26.0,6992.0,urbana,48863.0
48,13.0,4407.0,,32381.0
16,27.0,4953.0,suburbana,46895.0
3,25.0,,urbana,61536.0
20,14.0,,rural,
24,24.0,4709.0,,48408.0
33,3.0,,suburbana,6031.0
24,15.0,8419.0,rural,30884.0
11,19.0,6334.0,urbana,40432.0
49,17.0,4173.0,rural,43726.0
8,3.0,5283.0,urbana,42175.0
36,16.0,6814.0,urbana,57281.0
38,14.0,6033.0,suburbana,39317.0
40,12.0,8337.0,,35282.0
20,28.0,3421.0,rural,39258.0
35,12.0,6950.0,rural,36835.0
48,29.0,4154.0,urbana,80531.0
25,11.0,5387.0,suburbana,27415.0
35,17.0,3884.0,suburbana,38243.0
25,8.0,4715.0,urbana,27693.0
29,17.0,5423.0,suburbana,
18,21.0,6186.0,suburbana,33873.0
46,25.0,5122.0,urbana,58705.0
18,23.0,27.0,rural,
2,20.0,4846.0,rural,42128.0
35,11.0,7940.0,rural,30358.0
16,25.0,4830.0,,36951.0
41,25.0,7996.0,rural,49376.0
36,2.0,4759.0,urbana,32938.0
33,10.0,1856.0,urbana,36397.0
4,10.0,4134.0,suburbana,39661.0
33,11.0,3883.0,suburbana,
14,28.0,,rural,54603.0
21,6.0,2629.0,urbana,21076.0
48,,4982.0,rural,20847.0
20,24.0,4343.0,rural,52342.0
8,12.0,7575.0,suburbana,26924.0
7,11.0,2579.0,rural,9268.0
3,,5491.0,rural,
17,23.0,5822.0,suburbana,39175.0
33,27.0,6549.0,rural,56728.0
48,26.0,4272.0,rural,42528.0
12,25.0,5441.0,urbana,
22,13.0,5706.0,rural,13426.0
22,5.0,1703.0,suburbana,10579.0
46,6.0,4344.0,suburbana,14836.0
30,1.0,,urbana,28203.0
38,6.0,5169.0,suburbana,2371.0
38,18.0,5144.0,suburbana,38368.0
45,22.0,5875.0,suburbana,44055.0
8,9.0,8875.0,rural,29215.0
27,24.0,3809.0,urbana,59551.0
27,25.0,5762.0,urbana,52564.0
34,29.0,7602.0,urbana,46994.0
21,15.0,1402.0,urbana,35914.0
30,26.0,5536.0,,40760.0
33,8.0,1639.0,rural,6226.0
28,19.0,9371.0,suburbana,38648.0
47,,6044.0,suburbana,59011.0
33,16.0,5774.0,,25927.0
5,6.0,1253.0,suburbana,1452.0
48,29.0,3991.0,urbana,60897.0
19,6.0,4000.0,urbana,29415.0
4,22.0,8532.0,rural,41373.0
35,3.0,6458.0,suburbana,13070.0
49,10.0,1694.0,urbana,33908.0
17,1.0,5939.0,rural,13406.0
44,28.0,1994.0,suburbana,44875.0
28,14.0,,suburbana,42414.0
30,4.0,5906.0,urbana,28894.0
29,26.0,6489.0,suburbana,63985.0
46,12.0,5917.0,suburbana,35368.0
6,6.0,8759.0,urbana,23404.0
35,11.0,5737.0,rural,6540.0
41,12.0,5340.0,rural,37921.0
37,10.0,2567.0,urbana,27929.0
24,18.0,6715.0,urbana,51400.0
29,7.0,1697.0,rural,10830.0
49,7.0,9040.0,rural,36156.0
46,,6741.0,urbana,41146.0
31,4.0,10579.0,urbana,20660.0
35,20.0,5778.0,urbana,51984.0
33,1.0,6840.0,suburbana,28218.0
21,13.0,4445.0,urbana,34355.0
32,18.0,4913.0,suburbana,25313.0
23,9.0,2896.0,rural,28118.0
33,26.0,2104.0,rural,35893.0
3,24.0,5378.0,urbana,43302.0
18,24.0,4901.0,urbana,50468.0
25,9.0,2848.0,rural,23000.0
42,23.0,3202.0,rural,45930.0
31,29.0,5064.0,rural,55990.0
3,,2813.0,rural,9965.0
40,10.0,5713.0,urbana,48038.0
46,28.0,2875.0,suburbana,61136.0
24,2.0,5511.0,rural,16734.0
50,6.0,2698.0,rural,5111.0
32,15.0,2706.0,suburbana,28153.0
47,3.0,275.0,urbana,27535.0
22,11.0,4679.0,suburbana,35704.0
23,6.0,7908.0,urbana,24870.0
2,3.0,7794.0,urbana,47910.0
27,24.0,5648.0,urbana,
42,11.0,997.0,urbana,46469.0
2,15.0,6687.0,urbana,35117.0
26,13.0,5451.0,rural,30614.0
17,20.0,4186.0,urbana,40386.0
40,28.0,7414.0,rural,54142.0
33,10.0,6230.0,urbana,44308.0
9,6.0,8923.0,rural,26017.0
43,15.0,2188.0,suburbana,26573.0
48,25.0,2345.0,suburbana,30885.0
39,18.0,2682.0,rural,37070.0
29,18.0,,urbana,
42,7.0,8176.0,rural,17749.0
26,15.0,3752.0,rural,20980.0
35,18.0,3795.0,urbana,49198.0
50,18.0,5834.0,suburbana,41320.0
25,,6686.0,rural,50598.0
24,9.0,526.0,suburbana,3455.0
13,24.0,7079.0,suburbana,38135.0
7,2.0,3689.0,suburbana,20250.0
36,8.0,4795.0,rural,-1479.0
45,20.0,7836.0,rural,33740.0
20,2.0,4567.0,urbana,50099.0
1,11.0,1936.0,urbana,34971.0
8,26.0,2052.0,rural,52335.0
46,,4941.0,urbana,
16,6.0,4331.0,suburbana,29165.0
14,10.0,,suburbana,25021.0
12,5.0,4197.0,rural,18450.0
23,11.0,7482.0,suburbana,37753.0
15,1.0,5049.0,,5094.0
28,2.0,1474.0,rural,13746.0
34,24.0,6633.0,rural,34799.0
2,1.0,8812.0,suburbana,18788.0
32,19.0,5309.0,rural,42647.0
23,2.0,5465.0,rural,6677.0
22,21.0,3440.0,urbana,44324.0
25,20.0,4515.0,suburbana,38749.0
22,29.0,6005.0,rural,63905.0
22,23.0,7263.0,urbana,69378.0
49,21.0,5892.0,rural,48521.0
42,,8636.0,suburbana,67987.0
6,4.0,5196.0,urbana,30219.0
15,12.0,2756.0,urbana,41963.0
43,22.0,2813.0,,20320.0
37,20.0,7468.0,rural,31874.0
33,18.0,7014.0,suburbana,47725.0
8,1.0,1710.0,suburbana,21550.0
44,1.0,4580.0,rural,-2763.0
44,24.0,4653.0,urbana,58791.0
5,14.0,3496.0,suburbana,55390.0
39,4.0,2179.0,suburbana,16866.0
4,5.0,3452.0,urbana,44709.0
6,11.0,3093.0,rural,27447.0
45,24.0,2227.0,suburbana,53395.0
32,28.0,6658.0,,58231.0
30,23.0,5565.0,suburbana,32862.0
47,13.0,4071.0,urbana,49980.0
35,16.0,858.0,,37757.0
40,24.0,4401.0,rural,
16,13.0,6042.0,urbana,31062.0
13,24.0,3527.0,suburbana,45253.0
50,22.0,2700.0,suburbana,38993.0
42,26.0,4753.0,urbana,57614.0
30,2.0,5670.0,urbana,29820.0
19,16.0,1000.0,rural,36862.0
17,6.0,7708.0,urbana,38027.0
19,,2501.0,suburbana,34945.0
28,1.0,4154.0,rural,10958.0
26,17.0,7362.0,urbana,49641.0
37,11.0,5250.0,,22393.0
26,19.0,7192.0,urbana,54722.0
23,3.0,8107.0,suburbana,
9,11.0,2080.0,suburbana,27011.0
12,29.0,6804.0,rural,44739.0
1,5.0,7650.0,rural,6663.0
1,17.0,4248.0,urbana,39360.0
47,26.0,4407.0,rural,36088.0
34,,1173.0,urbana,82850.0
32,7.0,6562.0,rural,11972.0
48,10.0,-69.0,rural,19560.0
25,28.0,6937.0,,66681.0
40,29.0,,rural,64364.0
45,11.0,7781.0,,32018.0
1,3.0,5792.0,rural,18378.0
16,20.0,7017.0,rural,
39,10.0,3374.0,urbana,
5,27.0,2333.0,suburbana,55588.0
22,10.0,1472.0,urbana,29903.0
29,14.0,7182.0,urbana,37572.0
3,12.0,6325.0,urbana,43646.0
12,15.0,6396.0,rural,27247.0
26,10.0,5582.0,rural,26309.0
16,10.0,,suburbana,19076.0
37,26.0,4416.0,rural,32795.0
22,19.0,5740.0,suburbana,30298.0
29,1.0,3286.0,,13390.0
14,24.0,4314.0,rural,28295.0
28,29.0,11086.0,suburbana,81865.0
5,26.0,5077.0,urbana,82583.0
47,10.0,1056.0,urbana,44699.0
49,2.0,4182.0,urbana,22651.0
30,17.0,2884.0,suburbana,32971.0
46,24.0,5318.0,suburbana,53219.0
5,7.0,3221.0,urbana,39043.0
12,7.0,4576.0,rural,22123.0
16,20.0,3520.0,urbana,39711.0
26,27.0,5394.0,rural,47916.0
26,9.0,3745.0,rural,26828.0
48,22.0,5713.0,suburbana,23955.0
21,2.0,8897.0,,9064.0
39,14.0,2691.0,rural,33411.0
36,17.0,6447.0,rural,32536.0
33,1.0,94.0,rural,3463.0
30,9.0,4534.0,suburbana,38211.0
37,20.0,5457.0,urbana,53827.0
23,21.0,3503.0,rural,34567.0
10,19.0,1425.0,suburbana,36554.0
5,4.0,4923.0,urbana,27181.0
36,28.0,8064.0,suburbana,50105.0
34,8.0,4707.0,urbana,33540.0
31,13.0,6117.0,suburbana,22994.0
10,4.0,7253.0,urbana,28469.0
19,9.0,9942.0,rural,21292.0
32,9.0,2895.0,suburbana,28129.0
1,22.0,3101.0,urbana,70626.0
5,18.0,4415.0,urbana,53127.0
45,12.0,6230.0,urbana,44015.0
4,10.0,358.0,rural,22624.0
16,11.0,6307.0,suburbana,22917.0
24,7.0,5296.0,urbana,41756.0
16,9.0,3932.0,rural,25709.0
2,6.0,5851.0,rural,
49,19.0,6779.0,rural,42472.0
28,16.0,7056.0,rural,37921.0
32,15.0,5029.0,,34817.0
27,7.0,5652.0,rural,29964.0
20,16.0,5576.0,rural,25879.0
24,5.0,7462.0,suburbana,36581.0
12,16.0,,suburbana,22583.0
50,1.0,6290.0,rural,
35,19.0,6785.0,urbana,55605.0
33,5.0,8917.0,urbana,25004.0
33,7.0,3828.0,urbana,43853.0
43,19.0,8251.0,rural,21965.0
37,22.0,9942.0,urbana,77205.0
12,5.0,3955.0,suburbana,43232.0
3,29.0,4566.0,,55520.0
1,17.0,,suburbana,28537.0
33,26.0,6313.0,suburbana,48273.0
40,22.0,1276.0,rural,48771.0
10,8.0,,suburbana,21977.0
43,29.0,4452.0,urbana,37706.0
44,29.0,4277.0,urbana,70755.0
29,1.0,4257.0,suburbana,23843.0
13,2.0,4021.0,suburbana,
12,15.0,6554.0,suburbana,44476.0
31,20.0,6076.0,urbana,70906.0
46,28.0,8406.0,urbana,66610.0
2,18.0,6559.0,suburbana,59430.0
50,11.0,2804.0,urbana,37199.0
35,25.0,4659.0,urbana,72493.0
23,10.0,4447.0,,22133.0
17,24.0,5510.0,suburbana,70791.0
26,24.0,7186.0,suburbana,58227.0
8,4.0,5371.0,rural,14335.0
29,5.0,5376.0,rural,4804.0
26,,,urbana,32078.0
10,13.0,6621.0,rural,21604.0
26,25.0,3862.0,suburbana,54999.0
34,13.0,2085.0,suburbana,37757.0
41,18.0,6289.0,suburbana,52434.0
7,29.0,5750.0,urbana,73477.0
4,27.0,7646.0,urbana,67417.0
50,24.0,144.0,suburbana,59360.0
45,2.0,4799.0,suburbana,31243.0
11,16.0,5213.0,urbana,37643.0
29,1.0,1978.0,urbana,
36,26.0,4826.0,rural,60151.0
25,19.0,7373.0,urbana,45867.0
21,9.0,9172.0,,22046.0
36,28.0,6964.0,suburbana,69615.0
10,3.0,4351.0,suburbana,20043.0
37,25.0,7523.0,suburbana,48964.0
9,7.0,6822.0,,24096.0
24,29.0,4031.0,urbana,78587.0
35,10.0,3836.0,rural,2753.0
49,1.0,4662.0,urbana,26491.0
35,10.0,2898.0,urbana,37892.0
48,21.0,4378.0,suburbana,59966.0
36,9.0,5973.0,urbana,46563.0
18,28.0,7077.0,rural,60853.0
49,15.0,4242.0,suburbana,31455.0
39,15.0,7776.0,rural,40416.0
32,3.0,6300.0,rural,9688.0
24,25.0,6391.0,,51525.0
23,5.0,3161.0,urbana,35767.0
32,9.0,8615.0,rural,26245.0
37,26.0,6106.0,urbana,67047.0
12,,4334.0,suburbana,59597.0
49,9.0,3981.0,urbana,
13,23.0,4379.0,urbana,
23,7.0,2963.0,suburbana,13802.0
25,24.0,6976.0,urbana,50336.0
35,23.0,3168.0,rural,
41,12.0,5579.0,rural,34005.0
30,25.0,4100.0,rural,56485.0
17,,6341.0,,74485.0
49,,6613.0,rural,21806.0
20,6.0,3712.0,urbana,48268.0
48,23.0,4932.0,urbana,51536.0
25,2.0,2113.0,urbana,44814.0
22,9.0,8401.0,urbana,41457.0
13,28.0,7136.0,suburbana,75595.0
19,,2208.0,rural,39775.0
49,,3266.0,rural,28798.0
36,1.0,4730.0,urbana,9255.0
12,19.0,5077.0,suburbana,52984.0
41,28.0,,urbana,67433.0
19,6.0,2710.0,rural,36334.0
12,5.0,5790.0,rural,12292.0
9,2.0,8478.0,suburbana,33153.0
7,9.0,5109.0,urbana,38386.0
28,29.0,4416.0,suburbana,56094.0
14,26.0,4206.0,urbana,59470.0
31,14.0,2806.0,suburbana,24793.0
19,4.0,3656.0,rural,17667.0
47,4.0,7272.0,suburbana,23931.0
16,21.0,858.0,rural,21459.0
5,15.0,5140.0,rural,6499.0
35,8.0,5055.0,urbana,32914.0
12,26.0,5236.0,suburbana,64808.0
25,4.0,6454.0,suburbana,23383.0
21,16.0,5122.0,suburbana,25070.0
36,21.0,4092.0,suburbana,27035.0
23,28.0,3686.0,urbana,76496.0
16,4.0,7596.0,urbana,
39,16.0,7082.0,urbana,57259.0
45,22.0,,rural,52294.0
42,12.0,4438.0,rural,42897.0
39,16.0,3723.0,rural,25686.0
14,19.0,,urbana,62617.0
31,8.0,5858.0,rural,35685.0
5,6.0,6272.0,suburbana,10646.0
35,10.0,6694.0,rural,26685.0
23,5.0,6253.0,,32098.0
29,29.0,7150.0,urbana,
43,18.0,7416.0,urbana,
11,10.0,7451.0,urbana,29270.0
18,10.0,477.0,suburbana,29203.0
47,7.0,5464.0,rural,41608.0
12,18.0,3153.0,rural,32480.0
9,1.0,7110.0,urbana,26239.0
10,7.0,435.0,rural,30013.0
44,21.0,7938.0,suburbana,60445.0
17,1.0,3270.0,,17939.0
38,15.0,2812.0,,36631.0
7,4.0,5712.0,rural,-13956.0
46,,4253.0,,40361.0
13,29.0,8558.0,rural,66045.0
40,20.0,7726.0,urbana,51078.0
42,10.0,3978.0,urbana,36179.0
9,23.0,7084.0,suburbana,40923.0
50,9.0,3909.0,,25779.0
27,2.0,3892.0,rural,-13848.0
2,28.0,6428.0,rural,48510.0
5,14.0,7911.0,rural,36984.0
29,16.0,4117.0,suburbana,39762.0
37,1.0,4270.0,urbana,16595.0
38,2.0,5602.0,urbana,13191.0
19,7.0,3212.0,urbana,29330.0
8,,8130.0,rural,41714.0
48,10.0,3192.0,rural,14877.0
45,22.0,3733.0,rural,42277.0
1,20.0,8534.0,suburbana,38112.0
22,1.0,5429.0,suburbana,28706.0
17,13.0,8887.0,rural,21151.0
7,1.0,4561.0,suburbana,9100.0
25,5.0,10039.0,suburbana,34028.0
45,16.0,6231.0,suburbana,45889.0
4,15.0,3495.0,urbana,50462.0
36,17.0,3464.0,suburbana,31890.0
6,28.0,2085.0,rural,54509.0
31,23.0,2304.0,urbana,64263.0
19,16.0,3680.0,suburbana,41360.0
44,13.0,3016.0,rural,26589.0
39,11.0,-155.0,suburbana,32146.0
27,17.0,6683.0,rural,35088.0
10,17.0,6550.0,rural,39779.0
26,2.0,5616.0,suburbana,
19,13.0,2730.0,suburbana,16577.0
39,,8293.0,urbana,41797.0
3,11.0,4643.0,suburbana,51019.0
45,28.0,3333.0,rural,30292.0
13,10.0,5465.0,urbana,54894.0
50,3.0,5350.0,rural,20035.0
28,29.0,-5.0,rural,48838.0
20,27.0,4938.0,suburbana,37646.0
28,17.0,5241.0,rural,34681.0
8,15.0,4242.0,suburbana,28430.0
41,9.0,2357.0,rural,32275.0
39,10.0,2416.0,urbana,30265.0
1,8.0,6028.0,suburbana,
3,21.0,6523.0,urbana,59180.0
13,13.0,4103.0,suburbana,26337.0
28,27.0,5764.0,urbana,74697.0
49,18.0,4084.0,suburbana,37308.0
25,5.0,3293.0,urbana,11326.0
33,6.0,5428.0,urbana,34850.0
38,17.0,2701.0,suburbana,45734.0
6,11.0,8787.0,suburbana,47909.0
44,20.0,2124.0,rural,42225.0
45,16.0,5567.0,rural,44984.0
32,9.0,5300.0,suburbana,32647.0
45,2.0,5122.0,suburbana,7503.0
47,5.0,7966.0,urbana,26060.0
21,1.0,-372.0,urbana,-1785.0
16,4.0,5823.0,rural,13489.0
21,4.0,4453.0,rural,21090.0
11,22.0,6167.0,rural,27155.0
37,26.0,5109.0,urbana,76026.0
36,25.0,4849.0,urbana,60351.0
35,3.0,,urbana,17604.0
19,9.0,3653.0,rural,5593.0
20,22.0,11263.0,suburbana,68620.0
18,23.0,6186.0,rural,56269.0
47,,7105.0,urbana,39649.0
41,10.0,4296.0,rural,32726.0
49,2.0,3288.0,rural,
14,11.0,6552.0,rural,20697.0
15,10.0,1192.0,rural,14421.0
31,22.0,3698.0,urbana,53636.0
1,6.0,4290.0,rural,13446.0
3,18.0,6889.0,urbana,53125.0
